License Number,License Type,License Type Code,License Status,License Status Code,Issued Date,Effective Date,Expiration Date,Application Number,SEE Category,Entity Name,DBA,Location ID,Address Line 1,Address Line 2,City,State,Zip Code,County,Region,Latitude,Longitude,Business Website,Operational Status,Business Purpose,Tier Type,Processor Type,Cultivation Indoor,Cultivation Outdoor,Cultivation Mixed Light,Cultivation Combination,Cultivation Activities Drying Curing,Cultivation Activities Storage,Cultivation Activities Packaging,Cultivation Activities Waste Rendering,Processing Activities Extraction,Processing Activities Blending and Infusing,Processing Activities Packaging and Labeling,Processing Activities Branding,Retail Activities Sales with Delivery,Retail Activities Sales No Delivery,Retail Activities Non-Cannabis Products,Retail Activities Drive Thru,Retail Date Opened to Public,Primary Contact Name
OCM-PROC-24-000113,Adult-Use Processor License,OCMPROC,Active,LICACT,09/17/2024 12:00:00 AM,09/17/2024 12:00:00 AM,09/17/2026 12:00:00 AM,OCMPROC-2023-000483,,"CAKBCC NY, LLC",,480F3891-2775-4FA6-AB60-7CF2A6306047,37 Coats St,,Wellsville,NY,14895,Allegany,Western NY,42.131864,-77.957022,,Active,Adult-Use Processing,,"Infusing and Blending; and Packaging, Labeling and Branding",0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,,Corey Keller
OCM-DIST-24-000006,Adult-Use Distributor License,OCMDIST,Active,LICACT,04/04/2024 12:00:00 AM,04/04/2024 12:00:00 AM,04/04/2026 12:00:00 AM,OCMDIST-2023-000016,Women-Owned Business,California Fragrance Company Inc,Aromafloria,0AA5519A-2709-4D1B-8F4B-B5CDA4A01CCC,171 E 2nd St,,Huntington Station,NY,11746,Suffolk,Long Island,40.85416587,73.40479947,aromafloria.com,Active,Adult-Use Distribution,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,Elizabeth Flaherty
OCM-PROC-24-000009,Adult-Use Processor License,OCMPROC,Active,LICACT,03/04/2024 12:00:00 AM,03/04/2024 12:00:00 AM,03/04/2026 12:00:00 AM,OCMPROC-2023-000014,Women-Owned Business,California Fragrance Company Inc,Aromafloria,30E454F6-89EA-4BF9-9D2D-E8E53E0023D5,171 E 2nd St,,Huntington Station,NY,11746,Suffolk,Long Island,40.85416587,73.40479947,aromafloria.com,Active,Adult-Use Processing,,"Infusing and Blending; and Packaging, Labeling and Branding",0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,,Elizabeth Flaherty
OCM-RETL-24-000162,Adult-Use Retail Dispensary License,OCMRETL,Active,LICACT,08/19/2024 12:00:00 AM,08/19/2024 12:00:00 AM,08/19/2026 12:00:00 AM,OCMRETL-2023-001229,Minority-Owned Business,Cali Happy Realty Corp,,837CFD58-CD40-4FBE-BC82-303A3D0683F6,14310 Liberty Ave,,Jamaica,NY,11435,Queens,Queens,40.692248,-73.80922,,Active,Adult-Use Retail Sales,,,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,,Anita Hardoon
OCM-RETL-24-000087,Adult-Use Retail Dispensary License,OCMRETL,Active,LICACT,05/13/2024 12:00:00 AM,05/13/2024 12:00:00 AM,05/13/2026 12:00:00 AM,OCMRETL-2023-001245,Women-Owned Business,CalKnap Inc.,Cloud 914,412223CB-FF69-4877-95CE-3B37AA77B799,807 Washington St,,Peekskill,NY,10566,Westchester,Mid-Hudson,41.276534,-73.926867,,Active,Adult-Use Retail Sales,,,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,,Christopher  Calabrese
OCM-MICR-24-000129,Adult-Use Microbusiness License,OCMMICR,Active,LICACT,07/17/2024 12:00:00 AM,07/17/2024 12:00:00 AM,07/17/2026 12:00:00 AM,OCMMICR-2023-000060,Minority-Owned Business,CalmUnity Farms LLC,,7FC51650-6155-4C76-B413-8F38CBE90093,,,,,,Chemung,Southern Tier,,,http://www.calmunityfarms.coop,Active,"Adult-Use Cultivation, Adult-Use Processing",,,0,1,0,0,1,1,1,1,1,1,1,1,0,0,0,0,,Lee Pierce
OCM-CAURD-24-000098,Conditional Adult-Use Retail Dispensary License,OCMCAURD22,Active,LICACT,03/08/2024 12:00:00 AM,03/08/2024 12:00:00 AM,03/08/2026 12:00:00 AM,OCMCAURDP-2023-000182,,Canary Cannabis Co LLC,Ether,118519,5100 Genesee St,,Buffalo,NY,14225,Erie,Western NY,,,,Active,AdultUseRetail,,,,,,,,,,,,,,,,,,,09/09/2024 12:00:00 AM,Yeong Choi
OCM-CAURD-24-000142,Conditional Adult-Use Retail Dispensary License,OCMCAURD22,Active,LICACT,05/10/2024 12:00:00 AM,05/10/2024 12:00:00 AM,05/10/2026 12:00:00 AM,OCMCAURDP-2023-000158,,Candice LoPizzo,,132900,241 5th Ave,,New York,NY,10016,New York,Manhattan,,,,Active,AdultUseRetail,,,,,,,,,,,,,,,,,,,,Candice Lopizzo
OCM-MICR-24-000023,Adult-Use Microbusiness License,OCMMICR,Active,LICACT,03/06/2024 12:00:00 AM,03/06/2024 12:00:00 AM,03/06/2026 12:00:00 AM,OCMMICR-2023-000472,,Cannabaceae LLC,,73D9B08E-C618-4640-8EC1-FEFAC2ADCFA6,6728 S Portage Rd,Parcel # 067289 227.00-2-14,Westfield,NY,14787,Chautauqua,Western NY,42.297402,-79.559477,,Active,"Adult-Use Cultivation, Adult-Use Processing, Adult-Use Distribution, Adult-Use Retail Sales",,,0,0,0,1,1,1,1,1,1,1,1,1,1,0,1,0,,Thomas Ballistrea
,Adult-Use Processor License,OCMPROC,In-Process,Pending,,,,OCMPROC-2023-000314,,"Cannabis Cousins Cultivation and Manufacturing, LLC",,02304B64-D1AF-4D26-86E7-A8D26FCF5DF4,33 Humphrey Road,,Narrowsburg,NY,12764,Sullivan,Mid-Hudson,41.615527,-75.04286,,Non-Operational,Adult-Use Processing,,"Packaging; Labeling and Branding, including for the exclusive performance of white labeling agreements",0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,,Stephen Flock
OCM-MICR-24-000163,Adult-Use Microbusiness License,OCMMICR,Active,LICACT,09/12/2024 12:00:00 AM,09/12/2024 12:00:00 AM,09/12/2026 12:00:00 AM,OCMMICR-2023-000121,Women-Owned Business,Cannabis Crafters LLC,,359426F3-63EA-467F-8551-1F1E8C0497F4,1521 Pontiac Rd,,Angola,NY,14006,Erie,Western NY,42.62888,-78.99445,,Active,"Adult-Use Cultivation, Adult-Use Processing, Adult-Use Distribution, Adult-Use Retail Sales",,,0,0,1,0,1,1,1,1,0,0,1,0,1,0,0,0,,Wendy Francis
,Adult-Use Retail Dispensary License,OCMRETL,In-Process,Pending,,,,OCMRETL-2023-000668,,Cannabis Dispensary LLC,,3EE688F7-1F6B-4BCC-951B-DB00D0022EDC,7560 Niagara Falls Blvd,,Niagara Falls,NY,14304,Niagara,Western NY,43.0885778,-78.9770386,,Non-Operational,Adult-Use Retail Sales,,,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,,Kamalpreet Mathon
OCM-CAURD-23-000026,Conditional Adult-Use Retail Dispensary License,OCMCAURD22,Active,LICACT,12/04/2023 12:00:00 AM,12/04/2023 12:00:00 AM,12/04/2025 12:00:00 AM,OCMCAURDP-2023-000041,,Cannabis Emporium Corp.,,17331,2460 Williamsbridge Rd Fl 1,,Bronx,NY,10469,Bronx,Bronx,,,,Active,AdultUseRetail,,,,,,,,,,,,,,,,,,,12/14/2023 12:00:00 AM,Deniz Ozkurt
OCM-RETL-24-000077,Adult-Use Retail Dispensary License,OCMRETL,Active,LICACT,04/25/2024 12:00:00 AM,04/25/2024 12:00:00 AM,04/25/2026 12:00:00 AM,OCMRETL-2023-000285,,"Cannabis Group NY, LLC",,400D045A-01A4-485E-A539-01FBEF291C96,14518 14th Ave,Store Front,Whitestone,NY,11357,Queens,Queens,40.787005,73.821699,www.cannabisgroupny.com,Active,Adult-Use Retail Sales,,,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,08/02/2024 12:00:00 AM,Jose Verdaguer
,Adult-Use Retail Dispensary License,OCMRETL,In-Process,Pending,,,,OCMRETL-2023-002138,,CANNABIS HORIZON HOLDINGS,,9C26703D-934B-43CE-B7EF-1795AEEDFE40,938 Intervale Ave,,Bronx,NY,10459,Bronx,Bronx,40.82072,-73.89658,,Non-Operational,Adult-Use Retail Sales,,,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,,Angelie Liu
,Conditional Adult-Use Retail Dispensary License,OCMCAURD22,In-Process,Pending,,,,OCMCAURDP-2024-000089,,"Cannabis Knock Knock, LLC",,LID190,1260 Gerling St,,Schenectady,NY,12308,Schenectady,,42.82432395,-73.91144136,,,Adult-Use Retail Sales,,,,,,,,,,,,,,,,,,,,
OCM-RETL-24-000091,Adult-Use Retail Dispensary License,OCMRETL,Active,LICACT,05/13/2024 12:00:00 AM,05/13/2024 12:00:00 AM,05/13/2026 12:00:00 AM,OCMRETL-2023-001852,Minority-Owned Business,Cannabliss Recreational LLC,,08C629EE-A685-47A2-81C1-9F373FDCA9C6,217 S Plank Rd,,Newburgh,NY,12550,Orange,Mid-Hudson,41.527789,74.072552,,Active,Adult-Use Retail Sales,,,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,,Arpi Shah
OCM-RETL-24-000126,Adult-Use Retail Dispensary License,OCMRETL,Active,LICACT,07/15/2024 12:00:00 AM,07/15/2024 12:00:00 AM,07/15/2026 12:00:00 AM,OCMRETL-2023-002003,Minority-Owned Business,CannaBliss Recreational Marijuana Dispensary LLC,,C37E2454-841F-412F-8134-D26945A3BF87,63 Main Street,,Fredonia,NY,14063,Chautauqua,Western NY,42.438667,79.33317,,Active,Adult-Use Retail Sales,,,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,,Jessica Serrett
,Adult-Use Distributor License,OCMDIST,In-Process,Pending,,,,OCMDIST-2023-000133,,"Cannaboss, LLC",,1CA8ECE2-0EFD-4A13-804A-D2B253D6F7FF,1423 Lutheranville Rd,,East Worcester,NY,12064,Otsego,Mohawk Valley,42.591732,-74.649401,,Non-Operational,Adult-Use Distribution,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,Jose Rodrigues
,Adult-Use Processor License,OCMPROC,In-Process,Pending,,,,OCMPROC-2023-000168,,"Cannaboss, LLC",Cannaboss,FC8CA14F-ECA2-440C-89A5-639D685C1CD8,1423 Lutheranville Rd,,East Worcester,NY,12064,Otsego,Mohawk Valley,42.591735,-74.649402,,Non-Operational,Adult-Use Processing,,"Extraction; Infusing and Blending; and Packaging, Labeling and Branding",0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,,Jose Rodrigues
OCM-PROC-24-000120,Adult-Use Processor License,OCMPROC,Active,LICACT,09/26/2024 12:00:00 AM,09/26/2024 12:00:00 AM,09/26/2026 12:00:00 AM,OCMPROC-2023-000360,Women-Owned Business,Cannabri LLC,,6E534DFB-DE1D-44D6-8C33-B1104E42048D,2318 Trapping Brook Rd,,Wellsville,NY,14895,Allegany,Western NY,41.383618,-74.304681,,Active,Adult-Use Processing,,"Extraction; Infusing and Blending; and Packaging, Labeling and Branding",0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,,Brianna Delgado
,Adult-Use Processor License,OCMPROC,In-Process,Pending,,,,OCMPROC-2023-000326,,Cannabronx LLC,,B4148D7C-E116-45F5-9D59-118D852B286B,16 F Smith Rd,,Napanoch,NY,12458,Ulster,Mid-Hudson,41.842233,-74.481481,,Non-Operational,Adult-Use Processing,,"Packaging; Labeling and Branding, including for the exclusive performance of white labeling agreements",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,,Kavita Pawria-Sanchez
OCM-RETL-24-000197,Adult-Use Retail Dispensary License,OCMRETL,Active,LICACT,10/15/2024 12:00:00 AM,10/15/2024 12:00:00 AM,10/15/2026 12:00:00 AM,OCMRETL-2023-001623,Minority-Owned Business,Canna Buddha Corp,,CC83EDD1-EAAF-4661-A2F6-3E44B7A4600C,21546 39th Ave,,Bayside,NY,11361,Queens,Queens,40.766051,-73.767461,,Active,Adult-Use Retail Sales,,,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,,Abdul Hamid
OCM-CULT-24-000134,Adult-Use Cultivator License,OCMCULT,Active,LICACT,08/06/2024 12:00:00 AM,08/06/2024 12:00:00 AM,08/06/2026 12:00:00 AM,OCMCULT-2023-000129,,"Canna Cure Farms, LLC",,0DBC1C24-B416-4447-B692-5E9144F129D8,,,,,,Washington,Capital District,,,www.nycannacurefarms.com,Active,Adult-Use Cultivation,CCULT_MIXED_T2,,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,,Matthew White
,Adult-Use Distributor License,OCMDIST,In-Process,Pending,,,,OCMDIST-2023-000065,,"Canna Cure Farms, LLC",,E6A31CD4-B22D-48B0-B4BD-7E2D0D513E4F,665 Ralph Rd,,Lake Luzerne,NY,12846,Warren,Capital District,43.29166,73.77814,www.nycannacurefarms.com,Non-Operational,Adult-Use Distribution,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,Matthew White
OCM-PROC-24-000135,Adult-Use Processor License,OCMPROC,Active,LICACT,10/15/2024 12:00:00 AM,10/15/2024 12:00:00 AM,10/15/2026 12:00:00 AM,OCMPROC-2023-000073,,"Canna Cure Farms, LLC",,1F3BD255-2033-41DA-81D0-2C4B7BD8C838,37 Pleasant Valley Rd.,,Argyle,NY,12809,Washington,Capital District,43.209925,73.51267,www.nycannacurefarms.com,Active,Adult-Use Processing,,"Extraction; Infusing and Blending; and Packaging, Labeling and Branding",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,,Matthew White
OCM-PROC-24-000135,Adult-Use Processor License,OCMPROC,Active,LICACT,10/15/2024 12:00:00 AM,10/15/2024 12:00:00 AM,10/15/2026 12:00:00 AM,OCMPROC-2023-000073,,"Canna Cure Farms, LLC",,251DBBAB-E270-4965-BD99-5F42F33297CF,665 Ralph Rd,,Lake Luzerne,NY,12846,Warren,Capital District,43.29166,-73.77806,www.nycannacurefarms.com,Active,Adult-Use Processing,,"Extraction; Infusing and Blending; and Packaging, Labeling and Branding",0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,,Matthew White
OCM-PROC-24-000134,Adult-Use Processor License,OCMPROC,Active,LICACT,10/15/2024 12:00:00 AM,10/15/2024 12:00:00 AM,10/15/2026 12:00:00 AM,OCMPROC-2023-000054,Minority-Owned Business,Cannacure NY INC,,0FB2D311-DCB6-43AD-968A-5CF6FAD672E8,13527 38th Ave,Suite 138,Flushing,NY,11354,Queens,Queens,40.7604979,-73.8318214,,Active,Adult-Use Processing,,"Infusing and Blending; and Packaging, Labeling and Branding",0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,,Kwok Wu
OCM-CAURD-24-000114,Conditional Adult-Use Retail Dispensary License,OCMCAURD22,Active,LICACT,03/29/2024 12:00:00 AM,03/29/2024 12:00:00 AM,03/29/2026 12:00:00 AM,OCMCAURDP-2023-000225,,CANNADREAMS INC.,,108941,862 9th Ave,,New York,NY,10019,New York,Manhattan,,,,Active,AdultUseRetail,,,,,,,,,,,,,,,,,,,08/08/2024 12:00:00 AM,Jie Lin
OCM-CULT-24-000081,Adult-Use Cultivator License,OCMCULT,Active,LICACT,05/31/2024 12:00:00 AM,05/31/2024 12:00:00 AM,05/31/2026 12:00:00 AM,OCMCULT-2023-000002,Women-Owned Business,CannafarmsNY LLC,,5660010C-AE96-4D17-BC5B-160D1013A5CC,,,,,,Erie,Western NY,,,,Active,Adult-Use Cultivation,CULT_INDOOR_T2,,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,,Leah Walsh
,Adult-Use Retail Dispensary License,OCMRETL,In-Process,Pending,,,,OCMRETL-2023-001020,,CANNAGEO INC.,Canna-Geo,B6D2C651-A166-4911-B770-0D368BFA2AD4,5507 Nesconset Hwy Ste 12a,,Mount Sinai,NY,11766,Suffolk,Long Island,40.93069,-73.03,CBDFlowers.us,Non-Operational,Adult-Use Retail Sales,,,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,,George Moss
,Adult-Use Microbusiness License,OCMMICR,In-Process,Pending,,,,OCMMICR-2023-000470,,CannaGlam LLC,,E2258F8A-9A0B-404E-90E8-1957BADDB27F,67 Townsend St,,Buffalo,NY,14206,Erie,Western NY,42.88693,78.84076,Www.Cannaglam2022.com,Non-Operational,Adult-Use Retail Sales,,,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,,Alexis Szczygiel
,Adult-Use Retail Dispensary License,OCMRETL,In-Process,Pending,,,,OCMRETL-2023-000030,,CANNA Health and Wellness LLC,,9761401D-673C-4B50-A400-7E915BEA34E7,6075 E Henrietta Rd,,Rush,NY,14543,Monroe,Finger Lakes,42.991926,-77.64529,,Non-Operational,Adult-Use Retail Sales,,,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,,Eleanor Monte
OCM-MICR-24-000146,Adult-Use Microbusiness License,OCMMICR,Active,LICACT,08/12/2024 12:00:00 AM,08/12/2024 12:00:00 AM,08/12/2026 12:00:00 AM,OCMMICR-2023-000551,Minority-Owned Business,CANNA-HOUSE MICRO LLC,,5BDD3330-52DA-4131-AFAB-70E6B5A33294,98 Rhode Island St,,Buffalo,NY,14213,Erie,Western NY,42.906429,-78.896189,www.canna-house.com,Active,"Adult-Use Cultivation, Adult-Use Processing, Adult-Use Distribution, Adult-Use Retail Sales",,,1,0,0,0,1,1,1,1,1,1,1,1,1,0,1,0,,Reginald Keith
OCM-RETL-24-000191,Adult-Use Retail Dispensary License,OCMRETL,Active,LICACT,10/09/2024 12:00:00 AM,10/09/2024 12:00:00 AM,10/09/2026 12:00:00 AM,OCMRETL-2023-001394,Minority-Owned Business,Cannalicious LLC,,C5D302EF-7100-4123-AC99-C0BA8F5225FF,9415 3rd Ave,,Brooklyn,NY,11209,Kings,Brooklyn,40.617469,-74.033305,,Active,Adult-Use Retail Sales,,,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,,Laighah Montaser
,Conditional Adult-Use Retail Dispensary License,OCMCAURD22,In-Process,Pending,,,,OCMCAURDP-2024-000054,,Canna Life LLC,,LID062,1330 Mount Hope Ave,,Rochester,NY,14620,Monroe,,43.12420633,-77.6176687,,,Adult-Use Retail Sales,,,,,,,,,,,,,,,,,,,,
,Adult-Use Retail Dispensary License,OCMRETL,In-Process,Pending,,,,OCMRETL-2023-002067,,Cannary LLC,,7D91D95C-F70A-4537-8794-9334DE5E0B05,204 E Main St,,Batavia,NY,14020,Genesee,Finger Lakes,42.997141,-78.181727,,Non-Operational,Adult-Use Retail Sales,,,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,,Shelly Wolanske
,Adult-Use Retail Dispensary License,OCMRETL,In-Process,Pending,,,,OCMRETL-2023-000767,,Cannaspace Inc.,,D0E91C0E-467E-4333-9F23-B7ADA49BFF9D,4151 Mckinley Pkwy,,Buffalo,NY,14219,Erie,Western NY,42.771541,-78.810567,,Non-Operational,Adult-Use Retail Sales,,,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,,Raymond Battista
,Adult-Use Processor License,OCMPROC,In-Process,Pending,,,,OCMPROC-2023-000467,,"Canna Study, LLC",,F1803CBC-D279-4950-AF9D-F7E1B7A2D24E,599 Delaware Ave # 207,,Buffalo,NY,14202,Erie,Western NY,42.90097,-78.873078,,Non-Operational,Adult-Use Processing,,"Infusing and Blending; and Packaging, Labeling and Branding",0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,,John D'angelo
,Conditional Adult-Use Retail Dispensary License,OCMCAURD22,In-Process,Pending,,,,OCMCAURDP-2023-000227,,Cannatopia Buffalo INC LLC,,LID185,1505 Cleveland Dr.,,Cheektowaga,NY,14225,Erie,,42.94138637,-78.74545472,,,Adult-Use Retail Sales,,,,,,,,,,,,,,,,,,,,
OCM-CULT-24-000106,Adult-Use Cultivator License,OCMCULT,Active,LICACT,06/17/2024 12:00:00 AM,06/17/2024 12:00:00 AM,06/17/2026 12:00:00 AM,OCMCULT-2023-000123,Minority-Owned Business,CANNA UNLIMITED LLC,,04B12E7A-5897-45ED-8AF3-25B4C0799C12,,,,,,Allegany,Western NY,,,,Active,Adult-Use Cultivation,CULT_INDOOR_T2,,1,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,,Mohamed Asbtani
OCM-RETL-24-000017,Adult-Use Retail Dispensary License,OCMRETL,Active,LICACT,03/04/2024 12:00:00 AM,03/04/2024 12:00:00 AM,03/04/2026 12:00:00 AM,OCMRETL-2023-002177,,Capital Cannabis LLC,,C329A4F3-53E3-489C-AA7D-852C45AFFFFE,930 Oriskany St W,,Utica,NY,13502,Oneida,Mohawk Valley,43.10775,75.24428,,Active,Adult-Use Retail Sales,,,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,,Bradley Phillips
OCM-CAURD-23-000028,Conditional Adult-Use Retail Dispensary License,OCMCAURD22,Active,LICACT,12/04/2023 12:00:00 AM,12/04/2023 12:00:00 AM,12/04/2025 12:00:00 AM,OCMCAURDP-2023-000028,,Capital District Cannabis & Wellness Inc.,,26950,997 Central Ave Ste 200,,Albany,NY,12205,Albany,Capital Region,,,,Active,AdultUseRetail,,,,,,,,,,,,,,,,,,,12/08/2023 12:00:00 AM,James Frese
OCM-PROC-24-000095,Adult-Use Processor License,OCMPROC,Active,LICACT,09/12/2024 12:00:00 AM,09/12/2024 12:00:00 AM,09/12/2026 12:00:00 AM,OCMPROC-2023-000390,Minority-Owned Business,Capital Region Co. INC,,89B7D5AC-4487-4583-B3DB-D6EFC488D6B7,952 Route 4 S,,Schuylerville,NY,12871,Saratoga,Capital District,43.071985,-73.584681,www.revertnyc.com,Active,Adult-Use Processing,,"Infusing and Blending; and Packaging, Labeling and Branding",0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,,Devin Klender
OCM-CAURD-24-000208,Conditional Adult-Use Retail Dispensary License,OCMCAURD22,Active,LICACT,09/27/2024 12:00:00 AM,09/27/2024 12:00:00 AM,09/27/2026 12:00:00 AM,OCMCAURDP-2024-000001,,Capri Holdings 2 LLC,BUDR Cannabis,170150,887 Yonkers Ave,,Yonkers,NY,10704,Westchester,Mid-Hudson,,,,Active,AdultUseRetail,,,,,,,,,,,,,,,,,,,,Carl Tirella
OCM-RETL-24-000190,Adult-Use Retail Dispensary License,OCMRETL,Active,LICACT,10/09/2024 12:00:00 AM,10/09/2024 12:00:00 AM,10/09/2026 12:00:00 AM,OCMRETL-2023-001128,Women-Owned Business,"Caroline St., Inc.",Cannabis Central,92EBFDB5-A428-4148-90BC-F23463414E4B,1520 Crescent Rd,Suites 300&400,Halfmoon,NY,12065,Saratoga,Capital District,42.819655,-73.764638,,Active,Adult-Use Retail Sales,,,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,,Jason Southwood
,Adult-Use Retail Dispensary License,OCMRETL,In-Process,Pending,,,,OCMRETL-2023-001777,,Carry-On Cannabis NY LLC,,5A5C4064-E55A-439D-90ED-F34D194A748D,8529 Niagara Falls Blvd,,Niagara Falls,NY,14304,Niagara,Western NY,43.090031,-78.966565,,Non-Operational,Adult-Use Retail Sales,,,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,,Teodoro Armenteros
OCM-RETL-24-000144,Adult-Use Retail Dispensary License,OCMRETL,Active,LICACT,07/17/2024 12:00:00 AM,07/17/2024 12:00:00 AM,07/17/2026 12:00:00 AM,OCMRETL-2023-002134,,Case Management Inc.,Case Management,B3A16DE8-3147-4713-A58E-A590B578D7DF,3169 Coney Island Ave,,Brooklyn,NY,11235,Kings,Brooklyn,40.57932,-73.98402,,Active,Adult-Use Retail Sales,,,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,,Vitaly Khait
OCM-MICR-24-000096,Adult-Use Microbusiness License,OCMMICR,Active,LICACT,06/17/2024 12:00:00 AM,06/17/2024 12:00:00 AM,06/17/2026 12:00:00 AM,OCMMICR-2023-001276,,casey r oxley,Hindsight Farm,387E96A3-896C-41D8-8005-36D9AB43CEC9,,,,,,Schuyler,Southern Tier,,,,Active,"Adult-Use Cultivation, Adult-Use Processing, Adult-Use Distribution",,,0,1,0,0,1,1,1,1,0,0,1,1,0,0,0,0,,Casey Oxley
OCM-MICR-24-000130,Adult-Use Microbusiness License,OCMMICR,Active,LICACT,07/17/2024 12:00:00 AM,07/17/2024 12:00:00 AM,07/17/2026 12:00:00 AM,OCMMICR-2023-000100,,CatGrows LLC,,BF557043-3823-467D-B834-56B602E9F25F,,,,,,Erie,Western NY,,,,Active,"Adult-Use Cultivation, Adult-Use Processing, Adult-Use Distribution",,,1,0,0,0,1,1,1,1,1,1,1,1,0,0,0,0,,Robert Moore
OCM-CAURD-24-000112,Conditional Adult-Use Retail Dispensary License,OCMCAURD22,Active,LICACT,03/21/2024 12:00:00 AM,03/21/2024 12:00:00 AM,03/21/2026 12:00:00 AM,OCMCAURDP-2023-000114,,Cat Rock CAURD LLC,Leafology Cannabis Company,123040,244 Main St,,White Plains,NY,10601,Westchester,Mid-Hudson,,,,Active,AdultUseRetail,,,,,,,,,,,,,,,,,,,04/10/2024 12:00:00 AM,Shirley Xu-Weldon
OCM-RETL-24-000194,Adult-Use Retail Dispensary License,OCMRETL,Active,LICACT,10/09/2024 12:00:00 AM,10/09/2024 12:00:00 AM,10/09/2026 12:00:00 AM,OCMRETL-2023-001437,Women-Owned Business,"Catskill Botanicals, LLC",,93B7B9CE-924F-4E7F-B683-CDC8B841B4EB,53 Main St.,Barn,Delhi,NY,13753,Delaware,Southern Tier,42.275056,-74.918735,catskillbotanicals.com,Active,Adult-Use Retail Sales,,,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,,Lauren Raba
OCM-RETL-24-000042,Adult-Use Retail Dispensary License,OCMRETL,Active,LICACT,04/08/2024 12:00:00 AM,04/08/2024 12:00:00 AM,04/08/2026 12:00:00 AM,OCMRETL-2023-001676,Minority-Owned Business,Catskill Cannabis NY LLC,,701F0BBE-485C-4A0A-BA69-FE39F60812EA,170 W Bridge St,,Catskill,NY,12414,Greene,Capital District,42.216043,-73.878063,,Active,Adult-Use Retail Sales,,,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,,Dipalibahen Patel
OCM-PROC-24-000087,Adult-Use Processor License,OCMPROC,Active,LICACT,08/19/2024 12:00:00 AM,08/19/2024 12:00:00 AM,08/19/2026 12:00:00 AM,OCMPROC-2023-000106,,Catskill Food Company LLC,,80C0ABFD-632B-4594-865A-9E6674103B81,138 Church St,,Treadwell,NY,13846,Delaware,Southern Tier,42.343671,-75.054635,catskillfoodcompany.com,Active,Adult-Use Processing,,"Infusing and Blending; and Packaging, Labeling and Branding",0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,,Jonah Shaw
OCM-MICR-24-000028,Adult-Use Microbusiness License,OCMMICR,Active,LICACT,03/28/2024 12:00:00 AM,03/28/2024 12:00:00 AM,03/28/2026 12:00:00 AM,OCMMICR-2023-000124,Minority-Owned Business,Catskill Mountain Cannabis LLC,,A7FF98DA-1ACE-4038-B2D9-5D0D597E6DD0,,,,,,Greene,Capital District,,,catskillmountaincannabis.com,Active,"Adult-Use Cultivation, Adult-Use Distribution",,,1,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,,Alexander Zivian
,Conditional Adult-Use Retail Dispensary License,OCMCAURD22,In-Process,Pending,,,,,,CAURD Pending Location,,LID007,1412 Jerome Ave,,Bronx,NY,10452,Bronx,,40.84040609,-73.9174703,,,Adult-Use Retail Sales,,,,,,,,,,,,,,,,,,,,
